Şirket Adı,Adres,Numara,Web Sitesi,Mail,Durum,Notlar
İnnova,ODTÜ Teknokent,(312) 201 70 00,https://www.innova.com.tr/home,isealim@innova.com.tr,,
A2 labs,bilkent,0850 885 20 30,http://a2labs.com.tr/,info@a2.tc,,
ARD Bilişim,Koç Kuleleri / Hacettepe Teknokent,312 299 25 95 ,https://www.ardbilisim.com.tr/, info@ardgrup.com.tr,,
YD Yazılım,ODTÜ Teknokent,3122101764,https://www.ydyazilim.com/tr,info@ydyazilim.com,,
VLmedia,ODTÜ Teknokent,3122101777,https://www.vlmedia.com.tr/career,info@vlmedia.com.tr,,
Adhoc Tenknoloji,Bilkent,,https://www.adhocteknoloji.com.tr/,career@adhocteknoloji.com,,
Visratek,ODTÜ Teknokent,3129633970,https://www.visratek.com/en/,info@visratek.com,,DRONE
AGM Lab,Bİlkent,0 312 265 01 71,https://www.agmlab.com/,info@agmlab.com,,
AI Studio,Gazi,,https://aistudio.com.tr/,info@aistudio.com.tr,,
AltoSec,Bilkent,0312 265 08 07,https://www.altosec.com/,info@altosec.com,,
1if yazılım,Gazi,,https://www.1if.com.tr/,info@1if.com.tr,,
Anser Yazılım,Bilkent,0 312 265 0829,https://www.anser.com.tr/,info@anser.com.tr,,
ApplyCoder,Bilkent,"
0 553 728 7665",https://applycoder.com/,"
info@applycoder.com",,
ArkSigner,Bilkent,0312 484 79 33,https://www.arksigner.com/,"
destek@arksigner.com",,
ARMS Elektronik Savunma,Bilkent,0 800 123 4567,https://elektroniksavunma.com/,info@elektroniksavunma.com,,
BenimPOS,Gazi Teknokent,,https://www.benimpos.com/,bilgi@benimpos.com,,
BarkaTech,Bilkent,0 312 265 0706,https://www.barakatech.com/,info@barakatech.com,,
BaşarıMobile,Bilkent,0 (312) 265 01 40,www.basarimobile.com,info@basarimobile.com,,
Certificatum,Gazi Teknokent,,https://certificatum.com.tr/,iletisim @certificatum.com.tr,,
Cuda Tech,Gazi Teknokent,5305406145,https://www.cudatech.com.tr/,iletisim@cudatech.com.tr,,
BaşarıTeknoloji,Bilkent,0 (312) 841 62 62, www.basariteknoloji.com.tr,teknoloji@basari.com.tr,,
Bilge Adam Teknoloji,Bilkent,444 33 30,https://www.bilgeadam.com/,,,
Bilişim,Bilkent,0 312 266 11 44,bilisim.com.tr,"bilisim@bilisim.com.tr
ik@bilisim.com.tr
",,
NanoTam,Bilkent,0 312 290 19 66,nanotam.bilkent.edu.t,nanotam@bilkent.edu.tr,,
Us Arge Yazılım,Gazi Teknokent,0 312 484 86 87,https://usyazilim.com/,info@usyazilim.com,,
BilTen,Bilkent,0 312 485 25 10,bilten.com.tr/,bilgi@bilten.com.tr,,
,,,,,,
BKMobil,Bİlkent,(+90) 312 2650003,https://www.bktomorrow.com/,info@bktomorrow.com,,
Ctech(Drone),Bilkent,"0 850 480 77 44
0 216 290 52 86
0 216 290 52 88",https://ctech.com.tr/,"infoctech@ctech.com.tr
",,DRONE
,,,,,,
Tektronik,Bilkent,0 312 437 30 00,https://www.tektronik.com.tr/iletisim,info@tektronik.com.tr,,
CodeBase,Bilkent,90 (312) 265-0021,www.codebase.com.tr,info@codebase.com.tr,,
CreaSaur,Bilkent,,https://creasaur.net/,TalepForm,,
Tractus,Bilkent,,https://www.tractus.com.tr/tr/,https://www.tractus.com.tr/tr/kariyer/,,
PrimeTek,Bİlkent,0 312 2650507,https://www.primetek.com.tr/,contact@primetek.com.tr,,
Simsoft,,,https://www.simsoft.com.tr/tr,info@simsoft.com.tr,,
Dakik Yazılım,Bilkent,(506) 102 5508,https://www.dakikyazilim.com/,info@dakikyazilim.com,,
Smartict,Bilkent,,https://www.smartict.com.tr/,info@smartict.com.tr,,
DataMEd,Bilkent,90 312 266 00 08,https://www.datamed.com.tr/,info@datamed.com.tr,,
DataTeam,Bilkent,0 312 227 52 22,https://datateam.com.tr/,info@datateam.com.tr,,
T2,Bilkent,,https://www.t2.com.tr/,info@t2.com.tr,,
EkinoksSoftware,Bilkent,90 312 265 01 62 / 97 / 98,https://ekinokssoftware.com/,info@ekinokssoftware.com,,
Erelbim,Bilkent,0 (850) 988 02 00,https://erelbim.com.tr/,info@erelbim.com.tr,,
Rocksoft,Bilkent,tel:05423164478,https://www.rocksoft.com.tr/,info@rocksoft.com.tr,,
Selvi Technology,Bilkent,0 535 662 90 85,https://www.selvitechnology.com/,https://www.selvitechnology.com/iletisim,,
ErsteYazılım,Bilkent,0 312 266 0199,https://www.ersteyazilim.com/,info@ersteyazilim.com,,
OpenZeka,Bilkent,0 312 266 2055,https://openzeka.com/,destek@openzeka.com,,
Eşkom,Bilkent,0 (312) 265-0361 & 0360,https://www.eskom.com.tr/,"bilkent@eskom.com.tr
",,
Oska Yazılım,Bilkent,0850 532 67 52,https://www.oska.com.tr/,oska@oska.com.tr,,
Otonom Teknoloji,,tel:+903122101188,https://www.otonomteknoloji.com/,info@otonomteknoloji.com,,DRONE
Etiya,Bilkent,0 312 2650150,https://www.etiya.com/,https://www.etiya.com/tr/bize-ulasin,,
fabricATE,Bilkent,	+90 312 266 44 64,https://www.fabric-ate.com/,"        info@fabric-ate.com
www.fabric-ate.com/careers/ (Stajyer Carrier)",,
Pleksus,Bilkent,312 427 26 08,https://www.pleksus.com.tr/,info@pleksus.com.tr,,
FdnSoft(E nabız),Bilkent,90 (312) 439 0801,https://www.fdnsoft.com/,info@fdnsoft.com,,
Mobiliz,Bilkent,0 312 219 7025,https://mobiliz.com.tr/,https://mobiliz.com.tr/iletisim/,,
GelişimPark,Bilkent,0 (312) 265 07 70,https://www.gelisimpark.com.tr/,bilgi@gelisimpark.com.tr,,
Infina,Bilkent,90 312 2650509,infinia.com.tr,info@infinia.com.tr,,
Mobiltrust,Bilkent,0 312 473 31 41,https://www.mobiltrust.com/tr/,info-mts@mobiltrust.com,,
NetCad,Bilkent,0 312 265 05 10,https://www.netcad.com/,bilgi@netcad.com,,
Maarifa,Bilkent,0 312 266 06 83,https://www.maarifa.com.tr/,info@maarifa.com.tr,,
Meteksan,Bilkent,0 312 266 15 20,https://www.meteksan.com/,info@meteksan.com,,
Milpower,Bilkent,312 265 0800,https://www.milpower.com.tr/,info@milpower.com.tr,,
GesisLab,Hacettepe, (312) 666-05-14, http://www.gesislab.com,info@gesislab.com,,
Limak,Bilkent,0 3129507777,https://www.limakteknoloji.com/,info@limakteknoloji.com,,
Polar Teknoloji,Hacettepe, (312) 285-27-37, http://www.polarteknoloji.com,"polar@polarteknoloji.com
bdpolar@gmail.com",,
Adeo,Hacettepe,0 (312) 482 12 35,https://adeosecurity.com/tr,info@adeosecurity.com,,
GlobeTech,Hacettepe,0312 999 78 94,https://www.globetech.com.tr/index.html,info@globetech.com.tr,,DRONE
RST Teknoloji,Hacettepe,"90 (312) 287 01 15 
 90 (312) 287 01 18",https://rstteknoloji.com.tr/,info@rstteknoloji.com.tr,,
Softplus,Hacettepe,(312) 220 06 14,https://www.softplus.com.tr/,info@softplus.com.tr,,
AnteGrup,Hacettepe,0 (312) 285 26 83,https://www.antegrup.com.tr/tr/,info@antegrup.com.tr,,
Amazoi Software,Hacettepe,,https://www.amazoisoftware.com/,"https://www.amazoisoftware.com/kariyer
info@amazoisoftware.com",,
Ard Bilişim,Hacettepe,"( 90) 444 8 273 (ARD)
 (90) 312 299 25 95 PBX",https://www.ardbilisim.com.tr/," info@ardgrup.com.tr
 ik@ardgrup.com.tr",,
Ehsim,Hacettepe,0 312 210 18 20,https://www.ehsim.com.tr/,ehsim@ehsim.com.tr,,
,,,,,,
Antiventi,Hacettepe,"
+90 (850) 227 72 70",https://aniventi.com/,"
info@aniventi.com",,
Belsis,Hacettepe,"90 850 840 25 77
90 312 473 44 47",https://www.belsis.com.tr/,belsis@belsis.com.tr,,
BioSoft,Hacettepe,90 (312) 220 1 220,www.hacettepeteknokent.com.tr, info@bisoft.com.tr,,
DataFlowX,Hacettepe,90 850 888 60 91,www.dataflowx.com,info@dataflowx.com,,
Ekon Teknoloji,Hacettepe,,https://ekonteknoloji.com/,"
info@ekonteknoloji.com",,
Etgi Group,Hacettepe,90 312 344 8883,https://etgigrup.com/,bilgi@etgigrup.com,,
Fonet,Hacettepe,(312) 438-59-19,https://www.fonetbt.com/,ik@fonetbt.com,,
Forte,Hacettepe,"0312 473 40 83
 0850 809 48 87",https://www.forte.com.tr/," info@forte.com.tr
 ir@forte.com.tr",,
